product_id,product_category_name
prod_0321,furniture
prod_0322,auto
prod_0323,furniture
prod_0324,fashion
prod_0325,toys
prod_0326,auto
prod_0327,toys
prod_0328,beauty
prod_0329,sports_leisure
prod_0330,garden_tools
prod_0331,fashion
prod_0332,toys
prod_0333,garden_tools
prod_0334,auto
prod_0335,garden_tools
prod_0336,sports_leisure
prod_0337,toys
prod_0338,auto
prod_0339,furniture
prod_0340,beauty
prod_0341,housewares
prod_0342,beauty
prod_0343,auto
prod_0344,electronics
prod_0345,furniture
prod_0346,auto
prod_0347,beauty
prod_0348,fashion
prod_0349,fashion
prod_0350,furniture
prod_0351,fashion
prod_0352,auto
prod_0353,furniture
prod_0354,garden_tools
prod_0355,housewares
prod_0356,auto
prod_0357,fashion
prod_0358,fashion
prod_0359,housewares
prod_0360,fashion
prod_0361,furniture
prod_0362,books
prod_0363,sports_leisure
prod_0364,beauty
prod_0365,beauty
prod_0366,housewares
prod_0367,garden_tools
prod_0368,beauty
prod_0369,furniture
prod_0370,sports_leisure
prod_0371,furniture
prod_0372,electronics
prod_0373,garden_tools
prod_0374,books
prod_0375,books
prod_0376,books
prod_0377,electronics
prod_0378,auto
prod_0379,housewares
prod_0380,sports_leisure
prod_0381,fashion
prod_0382,furniture
prod_0383,sports_leisure
prod_0384,fashion
prod_0385,auto
prod_0386,beauty
prod_0387,fashion
prod_0388,toys
prod_0389,beauty
prod_0390,fashion
prod_0391,garden_tools
prod_0392,books
prod_0393,toys
prod_0394,furniture
prod_0395,beauty
prod_0396,sports_leisure
prod_0397,sports_leisure
prod_0398,sports_leisure
prod_0399,toys
prod_0400,books
prod_0401,books
prod_0402,sports_leisure
prod_0403,housewares
prod_0404,beauty
prod_0405,furniture
prod_0406,sports_leisure
prod_0407,furniture
prod_0408,fashion
prod_0409,auto
prod_0410,electronics
prod_0411,toys
prod_0412,auto
prod_0413,housewares
prod_0414,electronics
prod_0415,sports_leisure
prod_0416,toys
prod_0417,electronics
prod_0418,auto
prod_0419,garden_tools
prod_0420,garden_tools
prod_0421,electronics
prod_0422,books
prod_0423,electronics
prod_0424,sports_leisure
prod_0425,fashion
prod_0426,books
prod_0427,fashion
prod_0428,sports_leisure
prod_0429,beauty
prod_0430,toys
prod_0431,fashion
prod_0432,beauty
prod_0433,auto
prod_0434,housewares
prod_0435,furniture
prod_0436,sports_leisure
prod_0437,books
prod_0438,sports_leisure
prod_0439,housewares
prod_0440,toys
prod_0441,sports_leisure
prod_0442,beauty
prod_0443,toys
prod_0444,auto
prod_0445,auto
prod_0446,beauty
prod_0447,books
prod_0448,toys
prod_0449,furniture
prod_0450,fashion
prod_0451,electronics
prod_0452,books
prod_0453,housewares
prod_0454,toys
prod_0455,housewares
prod_0456,beauty
prod_0457,toys
prod_0458,furniture
prod_0459,housewares
prod_0460,fashion
prod_0461,auto
prod_0462,garden_tools
prod_0463,electronics
prod_0464,auto
prod_0465,garden_tools
prod_0466,housewares
prod_0467,fashion
prod_0468,housewares
prod_0469,fashion
prod_0470,fashion
prod_0471,toys
prod_0472,beauty
prod_0473,housewares
prod_0474,electronics
prod_0475,beauty
prod_0476,beauty
prod_0477,housewares
prod_0478,auto
prod_0479,fashion
prod_0480,toys
prod_0481,garden_tools
prod_0482,beauty
prod_0483,beauty
prod_0484,toys
prod_0485,fashion
prod_0486,beauty
prod_0487,fashion
prod_0488,fashion
prod_0489,housewares
prod_0490,beauty
prod_0491,electronics
prod_0492,books
prod_0493,furniture
prod_0494,housewares
prod_0495,toys
prod_0496,garden_tools
prod_0497,electronics
prod_0498,sports_leisure
prod_0499,fashion
